rate_year,program,hospid,hospital_name,pct_adjustment,dollar_adjustment,source_file,pct_column,dollar_column
2018,MHAC,2,UNIVERSITY OF MARYLAND,0.002941176470588236,2572728.156159717,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,13,BON SECOURS,0.00352941176470588,218852.80566063552,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,30,CHESTERTOWN,0.00352941176470588,67020.36707555287,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,48,HOWARD COUNTY,0.00352941176470588,621479.2798313844,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,5,FREDERICK MEMORIAL,0.003823529411764704,683853.3415328122,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,33,CARROLL COUNTY,0.003823529411764704,445480.8568177615,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,62,SOUTHERN MARYLAND,0.003823529411764704,624534.7311505391,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,3,PRINCE GEORGE,0.004117647058823528,885338.8704522693,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,22,SUBURBAN,0.004117647058823528,781742.6955944059,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,32,UNION HOSPITAL  OF CECIL COUNT,0.004117647058823528,280737.2094749176,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,64,LEVINDALE,0.004117647058823528,225668.35060520133,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,1,MERITUS,0.004411764705882351,816943.5783563582,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,35,CHARLES REGIONAL,0.004411764705882351,301707.53327726776,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,58,REHAB & ORTHO,0.004411764705882351,298040.3656789839,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,10,DORCHESTER,0.004705882352941175,114148.57772127283,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,34,HARBOR,0.004705882352941175,507114.7361813327,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,49,UPPER CHESAPEAKE HEALTH,0.004705882352941175,626601.1109648324,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,8,MERCY,0.004999999999999999,1081407.1336025994,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,23,ANNE ARUNDEL,0.004999999999999999,1480844.863315236,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,6,HARFORD,0.005294117647058823,248695.1400729453,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,11,ST. AGNES,0.0058823529411764705,1371479.363628885,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,15,FRANKLIN SQUARE,0.006176470588235294,1775798.1712582107,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,24,UNION MEMORIAL,0.006176470588235294,1427516.91722071,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,37,EASTON,0.006176470588235294,617650.527922393,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,56,GOOD SAMARITAN,0.006176470588235294,979459.8580824818,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,61,ATLANTIC GENERAL,0.006176470588235294,240672.4272217117,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,63,UM ST. JOSEPH,0.006470588235294119,1520559.1647597975,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,18,MONTGOMERY GENERAL,0.007058823529411762,559755.9685026596,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,29,HOPKINS BAYVIEW MED CTR,0.007352941176470586,2562716.7432891717,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,40,NORTHWEST,0.007352941176470586,924236.6495521871,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,39,CALVERT,0.00764705882352941,484211.74737710936,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,17,GARRETT COUNTY,0.008235294117647058,179828.07794655382,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,51,DOCTORS COMMUNITY,0.00852941176470588,1133830.8257412452,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,55,LAUREL REGIONAL,0.00852941176470588,509412.5017627695,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,4,HOLY CROSS,0.008823529411764706,2996413.2890776787,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,28,ST. MARY,0.01,773460.0846130113,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,38,UMMC MIDTOWN,0.01,1149509.3447308028,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,45,MCCREADY,0.01,29305.737339036416,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2018,MHAC,60,FT. WASHINGTON,0.01,193719.85714620308,ry2018__mhacresults_51217__ry18_mhac_revenue_adjustments.csv,% Revenue Adjustment,$ Revenue Adjustment
2019,MHAC,1,MERITUS,-0.0017777777777777774,-339199.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,2,UNIVERSITY OF MARYLAND,-0.0031111111111111096,-2859901.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,3,PRINCE GEORGE,0.0013333333333333322,287286.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,4,HOLY CROSS,0.0024444444444444435,832118.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,5,FREDERICK MEMORIAL,0.0006666666666666644,147315.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,6,HARFORD,0.0037777777777777766,183441.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,8,MERCY,0.0,0.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,9,JOHNS HOPKINS,0.0,0.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,10,DORCHESTER,0.0031111111111111088,80955.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,11,ST. AGNES,0.0028888888888888888,687236.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,12,SINAI,-0.0031111111111111096,-1238336.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
2019,MHAC,13,BON SECOURS,0.0,0.0,ry2019__ry19mhacscaling__mhac_modeling_results.csv,% Adjustment,$ Adjustment
