fiscal_year,hosp_num,volume,revenue,volume_md_resident,volume_nonmd_resident,revenue_md_resident,revenue_nonmd_resident,medicare_volume_md_resident,medicare_volume_nonmd_resident,medicare_revenue_md_resident,medicare_revenue_nonmd_resident,medicare_ffs_volume_md_resident,medicare_nonffs_volume_md_resident,medicare_ffs_revenue_md_resident,medicare_nonffs_revenue_md_resident,medicaid_volume,medicaid_revenue,kaiser_volume,kaiser_revenue,revenue_inpatient,revenue_outpatient,outpatient_revenue_share,inpatient_admissions,inpatient_admissions_medicare,medicare_revenue_share,medicare_volume_share,md_resident_revenue_share,medicare_advantage_share_of_medicare_revenue,medicaid_revenue_share
2017,62,37894052.0,270322625.15,35570618.53,2323432.38,252820341.32,17502278.38,16125688.89,795231.59,107867233.61,5919586.0,15004590.46,1121098.02,100043903.07,7823328.07,,,,,163277626.72,107044998.43,0.39598978579984395,10514.0,4646.0,0.4266556759112598,0.4533429430359697,0.9352540919566459,0.0725273821175917,
2017,63,95125192.0,408176891.83,90389093.9,4736097.62,391289956.13,16886933.55,44018849.18,2160505.16,183398576.82,7027373.95,41508638.14,2510210.75,172610874.15,10787701.22,,,,,243572765.54,164604126.29,0.4032666463601652,15132.0,7119.0,0.4687024901785843,0.48699292448599263,0.9586283887255598,0.05882107378939911,
2017,65,15800637.0,96340366.0,15057928.0,742709.0,92415894.0,3924472.0,5225667.0,245321.0,30648768.0,1438715.0,5025268.0,200399.0,29486660.0,1162108.0,,,,,57097854.0,39242512.0,0.40733197961901035,4942.0,1881.0,0.33163957706236113,0.34703758711025845,0.9592645101638912,0.037916956400988126,
2017,87,1390186.24,14290669.92,1353504.47,36681.77,13916595.36,374074.56,123973.6,4893.3099999999995,1143551.3,44330.47,119870.92,4102.68,1106374.76,37176.54,,,,,,14290669.92,1.0,,,0.08217177193258568,0.09159452572772073,0.9738238611559786,0.03250972649849639,
2017,88,962704.0,6432806.1,923363.54,39340.12,6197326.99,235478.94,216057.46,7737.2699999999995,1339798.24,57898.72,207654.18,8403.06,1278432.04,61366.0,,,,,,6432806.1,1.0,,,0.21618969632583482,0.23398959417435952,0.9633940295511162,0.045802418728360175,
2017,333,2211430.0,19933602.88,2063994.94,147434.94,18579631.05,1353971.03,414469.58,19492.97,3106404.27,159299.01,402508.27,11960.92,3010111.57,96292.7,,,,,,19933602.88,1.0,,,0.16719407730112057,0.20080939733311556,0.9320759103032759,0.03099812246910155,
2017,2001,17157600.14,124286823.1,16242623.7,914976.2,118974705.04,5312116.88,4790364.54,251188.53,36681200.8,1666735.96,4523595.76,266768.56,34516171.57,2165028.89,,,,,72082151.27,52204671.83,0.42003384210727324,2635.0,1123.0,0.308310920272234,0.2949255384153239,0.9572592015186847,0.0590228466566449,
2017,2004,38864331.0,297577809.14,38143034.19,721295.34,293190949.14,4386855.98,20984269.76,347617.55,161750693.57,1808254.5,18327553.25,2656715.71,140304630.67,21446060.17,,,,,158209091.38,139368717.76,0.46834378599256327,9185.0,5562.55,0.5516906099743322,0.5501468408483736,0.9852581077443979,0.13258712959223823,
2017,3028,722081.0,42966920.0,539574.0,182507.0,32229230.0,10737690.0,442223.0,155209.0,26524741.0,9074640.0,438995.0,3228.0,26314546.0,210195.0,,,,,40518374.0,2448546.0,0.05698677028746766,1536.0,980.0,0.8230026283594116,0.8195780374888337,0.7500940258226562,0.007924488310743542,
2017,3029,2801740.0,71578375.23,2683535.0,118205.0,68419225.36,3159149.87,1063047.0,57556.0,28117474.77,1544700.2,1042747.0,20300.0,27547840.78,569633.99,,,,,58412596.21,13165779.02,0.18393514769921662,,,0.41095868335332464,0.3961368120780985,0.9558644652124495,0.020259073571136346,
2017,3478,1277.0,1223045.0,1277.0,0.0,1223045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1041860.0,181185.0,0.14814254585890135,,,0.0,0.0,1.0,,
2017,4000,2997356.63,150869375.35,2706240.0,291116.63,138052030.08,12817345.27,498055.48,56253.11,23475807.7,2034254.08,498055.48,0.0,23475807.7,0.0,,,,,134288348.21,16581027.14,0.10990320004662231,8630.0,1030.99,0.17005043450933655,0.18403965649757598,0.9150434258757605,0.0,
2017,4003,967262.0,21979952.0,665285.0,301977.0,14973175.0,7006777.0,196188.0,35829.0,1929756.0,380481.0,187290.0,8898.0,1876332.0,53424.0,,,,,20463745.0,1516207.0,0.0689813608328171,1997.0,172.0,0.12888088197726935,0.29489316608671473,0.6812196405160484,0.027684329003252225,
2017,4013,658421.0,40427501.82,637019.0,21402.0,38878886.33,1548615.49,75095.0,4692.0,5329407.22,318193.32,73261.0,1834.0,5132806.03,196601.19,,,,,35643752.14,4783749.68,0.11832909441941866,3468.0,370.0,0.13707715737443038,0.11788502383759354,0.9616940097635743,0.03688987947143585,
