fiscal_year,hosp_num,setting,volume,revenue,volume_md_resident,volume_nonmd_resident,revenue_md_resident,revenue_nonmd_resident,medicare_volume_md_resident,medicare_volume_nonmd_resident,medicare_revenue_md_resident,medicare_revenue_nonmd_resident,medicare_ffs_volume_md_resident,medicare_nonffs_volume_md_resident,medicare_ffs_revenue_md_resident,medicare_nonffs_revenue_md_resident,medicaid_volume,medicaid_revenue,months_reported,medicare_revenue_share,medicare_volume_share,md_resident_revenue_share,medicare_advantage_share_of_medicare_revenue,medicaid_revenue_share
2017,61,outpatient,12574149.71,69199963.85,9359336.54,3214813.17,50237378.1,18962585.75,4575535.48,1617194.03,22452855.55,9010784.88,4368502.1,207033.38,21292662.32,1160193.23,,,12,0.4469352581519377,0.48887391327847274,0.725974051213323,0.05167241322229056,
2017,62,inpatient,23093587.0,163277626.72,21589801.53,1503784.95,152549972.76,10727651.08,11466025.64,553237.83,76610180.96,4146702.51,10683842.32,782183.14,71297054.95,5313124.63,,,12,0.5021972772196253,0.531085273019645,0.9342980776025331,0.0693527226201712,
2017,62,outpatient,14800465.0,107044998.43,13980817.0,819647.43,100270368.56,6774627.3,4659663.25,241993.76,31257052.65,1772883.49,4320748.14,338914.88,28746848.12,2510203.44,,,12,0.3117277127718578,0.33328976768668095,0.936712317535974,0.08030838569803542,
2017,63,inpatient,54807799.0,243572765.54,51649073.02,3158725.74,233095312.17,10477452.4,28184330.35,1525289.05,122740636.22,4764315.9,26582015.45,1602314.76,115404395.96,7336239.45,,,12,0.5265684456600456,0.5456889872754583,0.9569842985246256,0.059770257641899,
2017,63,outpatient,40317393.0,164604126.29,38740020.88,1577371.8800000001,158194643.96,6409481.15,15834518.83,635216.11,60657940.6,2263058.05,14926622.69,907895.99,57206478.19,3451461.77,,,12,0.38343864925880516,0.408738004531504,0.961061229299272,0.056900411320591385,
2017,65,inpatient,8804159.0,57097854.0,8471468.0,332691.0,55050961.0,2046893.0,3884011.0,144045.0,23652500.0,984798.0,3723878.0,160133.0,22710077.0,942423.0,,,12,0.42964735892621386,0.45848145799523765,0.9641511395507089,0.03984454074622133,
2017,65,outpatient,6996478.0,39242512.0,6586460.0,410018.0,37364933.0,1877579.0,1341656.0,101276.0,6996268.0,453917.0,1301390.0,40266.0,6776583.0,219685.0,,,12,0.18724155078773994,0.20369910391925253,0.9521544645256145,0.03140031228077598,
2017,87,outpatient,1390186.24,14290669.92,1353504.47,36681.77,13916595.36,374074.56,123973.6,4893.3099999999995,1143551.3,44330.47,119870.92,4102.68,1106374.76,37176.54,,,12,0.08217177193258568,0.09159452572772073,0.9738238611559786,0.03250972649849639,
2017,88,outpatient,962704.0,6432806.1,923363.54,39340.12,6197326.99,235478.94,216057.46,7737.2699999999995,1339798.24,57898.72,207654.18,8403.06,1278432.04,61366.0,,,12,0.21618969632583482,0.23398959417435952,0.9633940295511162,0.045802418728360175,
2017,333,outpatient,2211430.0,19933602.88,2063994.94,147434.94,18579631.05,1353971.03,414469.58,19492.97,3106404.27,159299.01,402508.27,11960.92,3010111.57,96292.7,,,12,0.16719407730112057,0.20080939733311556,0.9320759103032759,0.03099812246910155,
2017,2001,inpatient,8483611.26,72082151.27,8147030.26,336580.91,69197348.66,2884802.07,3312823.63,178267.28,27390681.67,1382590.78,3159566.67,153256.84,26083169.04,1307512.37,,,12,0.39583426533556443,0.40662959683176625,0.9599789606834247,0.04773566374699137,
2017,2001,outpatient,8673988.88,52204671.83,8095593.4399999995,578395.29,49777356.38,2427314.81,1477540.91,72921.25,9290519.13,284145.18,1364029.09,113511.72,8433002.53,857516.52,,,12,0.18664147326499705,0.182511748020785,0.9535038653646873,0.09230017268152377,
2017,2004,inpatient,19498271.0,158209091.38,19241880.22,256390.02000000002,156337312.35,1871777.18,11893092.58,135157.44,98557264.33,894713.59,10357053.22,1536038.91,86060996.38,12496266.62,,,12,0.6304142168528203,0.618083703048849,0.9881689540488909,0.12679193872669456,
2017,2004,outpatient,19366060.0,139368717.76,18901153.97,464905.32,136853636.79,2515078.8,9091177.18,212460.11,63193429.24,913540.91,7970500.03,1120676.8,54243634.29,8949793.55,,,12,0.4617592248349925,0.48098529827488623,0.9819537625772585,0.14162538190497478,
2017,3028,inpatient,686353.0,40518374.0,506564.0,179789.0,29960017.0,10558357.0,423591.0,153681.0,25233447.0,8971149.0,420491.0,3100.0,25031944.0,201503.0,,,12,0.8422374059400567,0.8362043098206742,0.7394180477232378,0.007985551874858794,
2017,3028,outpatient,35728.0,2448546.0,33010.0,2718.0,2269213.0,179333.0,18632.0,1528.0,1291294.0,103491.0,18504.0,128.0,1282602.0,8692.0,,,12,0.5690492695044493,0.5644350196910027,0.9267593910835247,0.006731232391693914,
